Provider State,Average Covered Charges
Alabama,$32963.07
Alabama,$15131.85
Alabama,$37560.37
Alabama,$13998.28
Alabama,$31633.27
Alabama,$16920.79
Alabama,$11977.13
Alabama,$35841.09
Alabama,$28523.39
Alabama,$75233.38
Alabama,$67327.92
Alabama,$39607.28
Alabama,$22862.23
Alabama,$31110.85
Alabama,$25411.33
Alabama,$9234.51
Alabama,$15895.85
Alabama,$19721.16
Alabama,$10710.88
Alabama,$51343.75
Alabama,$55219.31
Alabama,$14948.15
Alabama,$73846.21
Alaska,$34805.13
Arizona,$34803.81
Arizona,$24474.75
Arizona,$28571.61
Arizona,$35968.50
Arizona,$26294.52
Arizona,$26771.78
Arizona,$29967.80
Arizona,$27349.40
Arizona,$59443.83
Arizona,$24714.66
Arizona,$37706.00
Arizona,$38149.85
Arizona,$15931.52
Arizona,$29718.48
Arizona,$25259.66
Arizona,$39165.92
Arizona,$26776.33
Arizona,$24560.00
Arizona,$54050.58
Arizona,$32998.00
Arizona,$25757.64
Arizona,$60608.69
Arizona,$29774.12
Arizona,$43823.20
Arkansas,$30470.56
Arkansas,$27734.89
Arkansas,$17593.33
Arkansas,$11057.06
Arkansas,$37470.73
Arkansas,$19270.63
Arkansas,$16582.34
Arkansas,$11406.17
Arkansas,$23182.42
Arkansas,$14799.30
Arkansas,$29474.08
Arkansas,$98388.77
Arkansas,$25076.64
Arkansas,$29442.36
Arkansas,$22973.00
Arkansas,$24489.93
California,$44664.45
California,$51950.87
California,$105929.47
California,$66207.66
California,$40062.46
California,$53334.80
California,$42446.30
California,$27027.93
California,$30686.01
California,$65099.54
California,$35690.02
California,$57187.30
California,$72051.89
California,$59184.74
California,$41460.67
California,$51983.85
California,$60997.16
California,$44775.91
California,$52977.92
California,$45246.74
California,$39046.81
California,$82480.75
California,$57258.73
California,$51813.13
California,$85165.10
California,$94693.84
California,$55232.69
California,$29350.85
California,$60022.58
California,$64419.66
California,$101282.03
California,$30027.54
California,$88175.00
California,$36730.69
California,$48567.22
California,$26209.54
California,$43000.11
California,$48852.45
California,$59465.00
California,$41204.23
California,$53860.17
California,$30510.29
California,$62077.71
California,$69223.47
California,$42287.47
California,$36866.31
California,$60448.47
California,$37691.96
California,$62924.09
California,$31305.47
California,$90836.48
California,$72225.31
California,$64346.68
California,$79033.50
California,$54446.46
California,$56328.90
California,$64229.61
California,$60264.97
California,$50977.01
California,$146892.00
California,$44761.50
California,$72784.00
California,$26258.00
California,$20227.66
California,$31017.06
California,$70478.25
California,$74093.92
Colorado,$33135.68
Colorado,$26928.54
Colorado,$46569.30
Colorado,$37752.30
Colorado,$27170.46
Colorado,$22619.02
Colorado,$33369.76
Colorado,$33355.73
Colorado,$63986.40
Colorado,$27634.88
Connecticut,$18103.18
Connecticut,$13479.31
Connecticut,$27697.57
Connecticut,$16060.63
Connecticut,$21229.09
Connecticut,$18847.68
Connecticut,$38982.66
Connecticut,$20848.20
Connecticut,$27901.34
Connecticut,$16739.37
Connecticut,$23753.66
Connecticut,$17413.75
Connecticut,$21274.47
Connecticut,$22336.68
Connecticut,$19812.50
Delaware,$14336.66
Delaware,$18353.30
Delaware,$39209.60
District of Columbia,$57137.45
District of Columbia,$48336.14
District of Columbia,$36636.04
Florida,$40686.73
Florida,$43779.57
Florida,$33949.48
Florida,$31951.05
Florida,$19028.00
Florida,$28986.15
Florida,$27803.88
